series,iso3,window_start,window_end,first_value,last_value,abs_change,pct_change,annual_change,relative_annual_change,n_obs,r_squared,classification,confidence,comparison_year,rank,of_n,percentile,regional_median,gap_to_median,target_value,target_source,projected_2030,required_annual_change,gap_to_target,year_target_met,status,rationale,computed_at
SH_STA_BRTC,CHL,2015,2022,99.7,99.4,-0.29999999999999716,-0.30090270812437026,-0.01904761904761915,-0.019100144444842468,8,0.11287477954145254,stagnating,low,2022,4,16,80.0,97.3,2.1000000000000085,,,,,,,no_numeric_target,"Chile's skilled birth attendance fell from 99.7 in 2015 to 99.4 in 2022; the fitted trend since 2015 is -0.02 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 4 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,COL,2015,2023,99.0,97.8,-1.2000000000000028,-1.212121212121215,-0.04500000000000052,-0.045892351274788065,9,0.014813058791655773,stagnating,low,2022,8,16,53.3,97.3,0.7000000000000028,,,,,,,no_numeric_target,"Colombia's skilled birth attendance fell from 99.0 in 2015 to 97.8 in 2023; the fitted trend since 2015 is -0.05 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 8 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,CRI,2015,2023,90.0,98.9,8.900000000000006,9.888888888888896,0.6083333333333336,0.6216645849892134,9,0.3184661354581675,improving,low,2022,6,16,66.7,97.3,1.5,,,,,,,no_numeric_target,"Costa Rica's skilled birth attendance rose from 90.0 in 2015 to 98.9 in 2023; the fitted trend since 2015 is +0.61 per year, classified as improving. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 6 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,CUB,2015,2024,99.9,99.8,-0.10000000000000853,-0.10010010010010863,-0.017575757575758386,-0.017598635802301376,10,0.4177844013909844,stagnating,low,2022,3,16,86.7,97.3,2.5,,,,,,,no_numeric_target,"Cuba's skilled birth attendance fell from 99.9 in 2015 to 99.8 in 2024; the fitted trend since 2015 is -0.02 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 3 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,DOM,2015,2023,99.6,99.9,0.30000000000001137,0.30120481927711984,0.03670212765957598,0.036796747868380386,7,0.17345526085690507,stagnating,low,2022,2,16,93.3,97.3,2.6000000000000085,,,,,,,no_numeric_target,"Dominican Republic's skilled birth attendance rose from 99.6 in 2015 to 99.9 in 2023; the fitted trend since 2015 is +0.04 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 2 of 16 countries in the region, above the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,ECU,2015,2024,94.4,97.2,2.799999999999997,2.966101694915251,0.29333333333333295,0.30523759972251086,10,0.7028382838283825,stagnating,medium,2022,9,16,46.7,97.3,-0.7000000000000028,,,,,,,no_numeric_target,"Ecuador's skilled birth attendance rose from 94.4 in 2015 to 97.2 in 2024; the fitted trend since 2015 is +0.29 per year, classified as stagnating. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 9 of 16 countries in the region, below the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,GTM,2015,2022,65.5,96.0,30.5,46.56488549618321,5.0321428571428575,5.835214213240015,8,0.6799285531056352,improving,medium,2022,11,16,33.3,97.3,-1.2999999999999972,,,,,,,no_numeric_target,"Guatemala's skilled birth attendance rose from 65.5 in 2015 to 96.0 in 2022; the fitted trend since 2015 is +5.03 per year, classified as improving. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 11 of 16 countries in the region, below the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,HND,2015,2019,72.0,94.1,22.099999999999994,30.694444444444436,5.41153846153846,6.623670087562375,3,0.9947525039043422,insufficient_data,low,,,,,,,,,,,,,no_numeric_target,"Honduras has only 3 headline observation(s) for skilled birth attendance since 2015, too few to assess a trend.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,MEX,2015,2022,97.7,87.5,-10.200000000000003,-10.440122824974415,-1.9321428571428574,-2.1027265483802013,8,0.895610397955905,declining,high,2022,15,16,6.7,97.3,-9.799999999999997,,,,,,,no_numeric_target,"Mexico's skilled birth attendance fell from 97.7 in 2015 to 87.5 in 2022; the fitted trend since 2015 is -1.93 per year, classified as declining. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 15 of 16 countries in the region, below the regional median of 97.3.",2026-09-10T19:30:38+00:00
SH_STA_BRTC,NIC,2015,2022,94.0,96.6,2.5999999999999943,2.7659574468085046,0.6975903614457832,0.7250202959769098,6,0.6019744934330191,improving,medium,2022,9,16,46.7,97.3,-0.7000000000000028,,,,,,,no_numeric_target,"Nicaragua's skilled birth attendance rose from 94.0 in 2015 to 96.6 in 2022; the fitted trend since 2015 is +0.70 per year, classified as improving. The UN sets no numeric 2030 target for this indicator; in 2022 it ranked 9 of 16 countries in the region, below the regional median of 97.3.",2026-09-10T19:30:38+00:00
